                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1937,                 3.7771,                 1.9205,                 0.2034,                0.19728,                0.09403,                0.04116,                 2.2486,                 5.0487,                 1.9358,                0.08416,                0.00016,                0.00016
                      2,                 1.7687,                 1.6758,                 1.5236,                0.48657,                0.46259,                0.43674,                0.17759,                 1.9908,                 4.6763,                 2.0067,                0.06733,             0.00032978,             0.00032978
                      3,                 1.7872,                  1.522,                 1.6347,                0.22322,                 0.4898,                0.33823,                0.14563,                 1.8379,                 15.846,                 1.9562,               0.050499,             0.00049864,             0.00049864
                      4,                 1.6247,                 1.3698,                 1.4644,                0.51001,                0.70068,                0.57668,                0.22935,                 1.9398,                 2.2224,                 1.9753,               0.033666,             0.00066592,             0.00066592
                      5,                  1.699,                 1.3289,                 1.5234,                0.48361,                0.52381,                0.47839,                0.18568,                 1.9982,                 3.4341,                 1.9619,               0.016831,             0.00083091,             0.00083091
                      6,                 1.6061,                 1.2982,                 1.4946,                0.55834,                0.55102,                0.54253,                0.25235,                 1.7656,                 5.0543,                  1.974,             0.00098313,             0.00098313,             0.00098313
                      7,                 1.6591,                  1.244,                 1.5151,                0.47495,                0.61905,                0.53166,                0.26295,                 1.8074,                 8.3434,                 1.8516,             0.00097577,             0.00097577,             0.00097577
                      8,                 1.6397,                  1.167,                 1.4917,                0.63437,                0.63736,                0.63236,                0.28478,                 1.9059,                 3.8807,                 1.9685,             0.00096712,             0.00096712,             0.00096712
                      9,                 1.6133,                 1.1474,                 1.4455,                0.60395,                0.69388,                0.66368,                0.32389,                 1.7694,                 2.4013,                 1.8772,             0.00095721,             0.00095721,             0.00095721
                     10,                 1.6107,                 1.1266,                 1.4702,                0.56483,                 0.4966,                 0.5514,                0.26748,                 1.8176,                 2.4543,                 1.8674,             0.00094605,             0.00094605,             0.00094605
                     11,                 1.5527,                 1.0763,                 1.4063,                0.74789,                0.70631,                0.77484,                0.36258,                 1.7103,                 1.7713,                 1.6469,             0.00093368,             0.00093368,             0.00093368
